transaction_id,bank,amount,status,failure_reason,device,timestamp
TXN100000,Kotak,4754.06,Success,,Web,2026-02-03 07:12:56.940214
TXN100001,ICICI,4332.22,Success,,Web,2026-01-12 19:53:56.940214
TXN100002,SBI,4849.85,Success,,,2026-02-25 14:21:56.940214
TXN100003,,1528.17,Success,,,2026-02-27 17:48:56.940214
TXN100004,PNB,706.07,Success,,Web,2026-03-17 10:14:56.940214
TXN100005,,1006.37,Success,,,2026-03-30 09:46:56.940214
TXN100006,Kotak,-474.95,Success,,iOS,2026-01-10 01:58:56.940214
TXN100007,Axis,1530.02,Success,,iOS,2026-01-28 15:48:56.940214
TXN100008,Yes Bank,2480.93,Success,,Web,2026-03-11 08:48:56.940214
TXN100009,ICICI,1565.44,Success,,,2026-01-23 00:44:56.940214
TXN100010,ICICI,3877.91,Failed,,Android,2026-01-26 06:01:56.940214
TXN100011,Kotak,451.58,Failed,Insufficient Balance,Android,2026-02-07 20:42:56.940214
TXN100012,Kotak,1364.03,Success,,iOS,2026-03-26 23:14:56.940214
TXN100013,Axis,-46.53,Success,,iOS,2026-01-15 10:34:56.940214
TXN100014,SBI,37.56,Success,,,2026-03-31 16:47:56.940214
TXN100015,SBI,3858.64,Success,,Web,2026-03-12 14:15:56.940214
TXN100016,HDFC,3120.26,Success,,iOS,2026-02-20 00:42:56.940214
TXN100017,PNB,3650.73,Success,,iOS,2026-03-11 02:13:56.940214
TXN100018,HDFC,3806.32,Success,,Android,2026-03-05 15:50:56.940214
TXN100019,Yes Bank,2618.44,Success,,Android,2026-02-15 02:40:56.940214
TXN100020,Axis,,Success,,,2026-02-14 01:19:56.940214
TXN100021,PNB,2057.81,Success,,Android,2026-01-22 15:21:56.940214
TXN100022,PNB,814.49,Success,,,2026-03-15 08:15:56.940214
TXN100023,HDFC,4020.32,Success,,iOS,2026-01-23 10:29:56.940214
TXN100024,SBI,4481.5,Success,,,2026-01-15 11:39:56.940214
TXN100025,Kotak,4091.89,Success,,Android,2026-02-27 19:17:56.940214
TXN100026,,,Success,,Android,2026-02-05 08:54:56.940214
TXN100027,HDFC,-188.18,Success,,Android,2026-02-05 01:13:56.940214
TXN100028,Yes Bank,1266.39,Failed,Bank Server Down,,2026-02-15 19:16:56.940214
TXN100029,ICICI,3051.73,Success,,,2026-01-07 07:33:56.940214
TXN100030,Yes Bank,-249.83,Failed,,Web,2026-03-28 09:33:56.940214
TXN100031,ICICI,3810.48,Success,,,2026-03-01 04:34:56.940214
TXN100032,Kotak,3165.21,Success,,iOS,2026-02-02 01:39:56.940214
TXN100033,SBI,1610.69,Success,,,2026-01-20 12:21:56.940214
TXN100034,,92.77,Success,,,2026-01-09 17:59:56.940214
TXN100035,Kotak,3457.78,Success,,iOS,2026-01-20 20:25:56.940214
TXN100036,ICICI,576.23,Success,,Android,2026-01-09 11:35:56.940214
TXN100037,Axis,4087.94,Success,,iOS,2026-01-16 07:52:56.940214
TXN100038,HDFC,4487.11,Success,,,2026-03-02 03:02:56.940214
TXN100039,HDFC,4486.58,Success,,Android,2026-02-21 13:47:56.940214
TXN100040,HDFC,429.86,Success,,iOS,
TXN100041,HDFC,516.34,Success,,Android,2026-02-17 03:54:56.940214
TXN100042,ICICI,3263.29,Success,,Android,2026-01-27 16:07:56.940214
TXN100043,PNB,,Success,,,2026-02-15 20:08:56.940214
TXN100044,PNB,2845.86,Success,,Android,2026-02-25 14:05:56.940214
TXN100045,,4865.32,Success,,Web,2026-04-02 03:45:56.940214
TXN100046,,2518.16,Success,,Web,2026-02-12 09:27:56.940214
TXN100047,HDFC,1411.05,Success,,Web,2026-02-20 12:18:56.940214
TXN100048,PNB,4770.1,Failed,,,2026-02-10 07:16:56.940214
TXN100049,Yes Bank,,Failed,Bank Server Down,,2026-01-27 04:55:56.940214
TXN100050,Yes Bank,1931.64,Success,,Android,2026-02-04 11:32:56.940214
TXN100051,Kotak,4681.41,Success,,,2026-03-26 20:52:56.940214
TXN100052,HDFC,,Success,,Android,2026-01-22 04:58:56.940214
TXN100053,Kotak,3488.11,Success,,Android,2026-01-16 09:36:56.940214
TXN100054,ICICI,4052.47,Success,,iOS,2026-03-30 19:07:56.940214
TXN100055,Yes Bank,3253.32,Success,,,2026-01-23 16:33:56.940214
TXN100056,Kotak,1696.6,Failed,,Web,2026-01-28 20:35:56.940214
TXN100057,,2333.33,Success,,,2026-02-27 09:16:56.940214
TXN100058,Yes Bank,196.37,Success,,iOS,2026-03-22 23:37:56.940214
TXN100059,Axis,3852.27,Success,,,2026-03-30 19:58:56.940214
TXN100060,Axis,2707.77,Success,,Android,2026-01-25 02:44:56.940214
TXN100061,Kotak,2586.34,Failed,Timeout,,2026-02-02 20:35:56.940214
TXN100062,Kotak,,Success,,,2026-03-22 18:01:56.940214
TXN100063,HDFC,2050.68,Success,,Android,2026-01-17 19:52:56.940214
TXN100064,Yes Bank,-147.17,Success,,,2026-01-30 09:40:56.940214
TXN100065,ICICI,2776.23,Success,,Android,2026-03-28 03:45:56.940214
TXN100066,Kotak,3791.65,Success,,,2026-03-01 21:55:56.940214
TXN100067,Kotak,4278.75,Success,,Android,2026-02-11 09:10:56.940214
TXN100068,,2372.62,Success,,iOS,2026-03-01 08:25:56.940214
TXN100069,SBI,3179.12,Success,,,2026-03-19 12:23:56.940214
TXN100070,HDFC,4283.88,Success,,,2026-03-11 10:18:56.940214
TXN100071,Axis,142.29,Success,,iOS,2026-03-22 08:56:56.940214
TXN100072,Yes Bank,,Success,,,2026-01-29 15:11:56.940214
TXN100073,,4806.34,Success,,iOS,
TXN100074,,100.93,Success,,Web,2026-01-12 04:08:56.940214
TXN100075,SBI,4225.93,Success,,Web,2026-01-23 17:55:56.940214
TXN100076,SBI,3148.42,Success,,,2026-03-14 21:20:56.940214
TXN100077,SBI,,Success,,,2026-03-05 10:13:56.940214
TXN100078,Axis,2068.96,Failed,,,2026-03-08 20:53:56.940214
TXN100079,SBI,2150.68,Failed,Insufficient Balance,Android,2026-03-25 00:35:56.940214
TXN100080,Kotak,4513.74,Success,,Web,2026-03-01 04:22:56.940214
TXN100081,Kotak,1952.12,Failed,Incorrect PIN,,2026-01-28 06:39:56.940214
TXN100082,,4750.81,Success,,,2026-02-12 22:16:56.940214
TXN100083,,1650.04,Success,,iOS,2026-01-31 14:57:56.940214
TXN100084,Yes Bank,3950.19,Success,,,2026-01-26 03:34:56.940214
TXN100085,SBI,2213.24,Success,,iOS,2026-01-21 18:20:56.940214
TXN100086,Kotak,3809.94,Success,,iOS,2026-01-06 06:48:56.940214
TXN100087,HDFC,373.09,Success,,,2026-01-09 04:45:56.940214
TXN100088,HDFC,,Success,,,2026-02-23 06:49:56.940214
TXN100089,SBI,4930.15,failed,Insufficient Balance,iOS,2026-03-01 22:47:56.940214
TXN100090,PNB,2796.44,Success,,iOS,2026-01-21 14:00:56.940214
TXN100091,PNB,66.65,Success,,,2026-02-19 12:43:56.940214
TXN100092,,-295.85,Success,,Web,2026-01-12 09:31:56.940214
TXN100093,Axis,-119.56,Success,,iOS,2026-01-11 16:03:56.940214
TXN100094,Axis,4849.7,Success,,Android,2026-01-09 05:29:56.940214
TXN100095,ICICI,378.24,Failed,Insufficient Balance,Android,2026-03-04 15:01:56.940214
TXN100096,SBI,3481.79,Success,,Android,2026-02-14 04:07:56.940214
