transaction_id,bank,amount,status,failure_reason,device,Date,Timestamp,Hour
TXN100000,Kotak,4754.06,Success,,Web,03/02/26,07:12:56,7
TXN100001,ICICI,4332.22,Success,,Web,12/01/26,19:53:56,19
TXN100002,SBI,4849.85,Success,,Unknown,25/02/26,14:21:56,14
TXN100003,Unknown,1528.17,Success,,Unknown,27/02/26,17:48:56,17
TXN100004,PNB,706.07,Success,,Web,17/03/26,10:14:56,10
TXN100005,Unknown,1006.37,Success,,Unknown,30/03/26,09:46:56,9
TXN100006,Kotak,474.95,Success,,iOS,10/01/26,01:58:56,1
TXN100007,Axis,1530.02,Success,,iOS,28/01/26,15:48:56,15
TXN100008,Yes Bank,2480.93,Success,,Web,11/03/26,08:48:56,8
TXN100009,ICICI,1565.44,Success,,Unknown,23/01/26,00:44:56,0
TXN100010,ICICI,3877.91,Failed,,Android,26/01/26,06:01:56,6
TXN100011,Kotak,451.58,Failed,Insufficient Balance,Android,07/02/26,20:42:56,20
TXN100012,Kotak,1364.03,Success,,iOS,26/03/26,23:14:56,23
TXN100013,Axis,46.53,Success,,iOS,15/01/26,10:34:56,10
TXN100014,SBI,37.56,Success,,Unknown,31/03/26,16:47:56,16
TXN100015,SBI,3858.64,Success,,Web,12/03/26,14:15:56,14
TXN100016,HDFC,3120.26,Success,,iOS,20/02/26,00:42:56,0
TXN100017,PNB,3650.73,Success,,iOS,11/03/26,02:13:56,2
TXN100018,HDFC,3806.32,Success,,Android,05/03/26,15:50:56,15
TXN100019,Yes Bank,2618.44,Success,,Android,15/02/26,02:40:56,2
TXN100021,PNB,2057.81,Success,,Android,22/01/26,15:21:56,15
TXN100022,PNB,814.49,Success,,Unknown,15/03/26,08:15:56,8
TXN100023,HDFC,4020.32,Success,,iOS,23/01/26,10:29:56,10
TXN100024,SBI,4481.5,Success,,Unknown,15/01/26,11:39:56,11
TXN100025,Kotak,4091.89,Success,,Android,27/02/26,19:17:56,19
TXN100027,HDFC,188.18,Success,,Android,05/02/26,01:13:56,1
